USER_ID,1.2007,2.2007,3.2007,4.2007,5.2007,6.2007,7.2007,8.2007,9.2007,10.2007,11.2007,12.2007,1.2008,2.2008,3.2008,4.2008,5.2008,6.2008,7.2008,8.2008,9.2008,10.2008,11.2008,12.2008,1.2009,2.2009,3.2009,4.2009,5.2009,6.2009,7.2009,8.2009,9.2009,10.2009,11.2009,12.2009,1.201,2.201,3.201,4.201,5.201,6.201,7.201,8.201,9.201,10.201,11.201,12.201,1.2011,2.2011,3.2011,4.2011,5.2011,6.2011,7.2011,8.2011,9.2011,10.2011,11.2011,12.2011,1.2012,2.2012,3.2012,4.2012,5.2012,6.2012,7.2012,8.2012,9.2012,10.2012,11.2012,12.2012,1.2013,2.2013,3.2013,4.2013,5.2013,6.2013,7.2013,8.2013,9.2013,10.2013,11.2013,12.2013,1.2014,2.2014,3.2014,4.2014,5.2014,6.2014,7.2014,8.2014,9.2014,10.2014,11.2014,12.2014
1,590.24,670.667,742.524,786.29,1092.402,1057.165,1047.734,963.067,932.0,848.893,668.527,690.81,702.515,680.182,727.091,724.8109999999999,781.795,756.575,813.563,851.532,824.063,816.6270000000001,719.355,743.333,737.965,654.696,724.843,723.866,802.0150000000001,776.1419999999999,783.12,744.337,720.326,708.495,622.578,643.3299999999999,625.996,500.182,553.773,543.559,855.023,1103.439,1153.573,1243.338,1203.231,1223.704,1105.067,1141.902,1141.917,1020.304,1129.621,1045.483,965.332,934.19,974.516,1021.793,988.831,1036.7320000000002,1078.4609999999998,1114.409,1111.078,945.976,1011.215,978.596,1123.0680000000002,1090.445,1140.905,1188.8290000000002,1150.481,1175.151,1082.08,1118.151,1107.938,914.615,1012.609,972.2650000000002,978.593,947.023,1011.515,1105.7890000000002,1070.119,1110.274,1114.961,1152.126,1143.658,922.078,1020.872,987.955,1021.008,988.075,1039.766,1103.76,1068.154,961.34,11.348,3752.89
2,544.197,463.521,513.185,768.143,1008.295,975.769,874.652,799.261,773.477,387.836,178.214,184.155,217.139,217.822,232.844,186.918,479.182,473.5,485.064,457.0,442.258,364.395,315.97799999999995,326.511,354.345,330.337,365.73,455.129,508.325,491.928,479.677,467.26,452.188,316.725,539.623,569.194,586.289,539.3050000000001,597.087,796.75,1021.254,1000.027,1082.0259999999998,1082.0259999999998,1047.119,970.195,860.74,889.4319999999999,878.5550000000001,786.414,870.673,797.517,788.489,763.055,889.8159999999999,953.749,922.984,940.85,901.484,931.533,870.039,777.575,831.2,818.666,865.2470000000001,837.337,885.5120000000001,896.6,867.678,850.7009999999999,798.8240000000001,825.4530000000001,801.5110000000001,712.052,788.343,792.9730000000001,840.1110000000001,813.0120000000001,816.443,717.513,694.3690000000001,717.143,693.669,716.7919999999999,717.111,647.95,717.375,689.266,719.113,695.916,717.3230000000001,715.7760000000001,692.6880000000001,346.343,11.348,3752.89
3,363.621,298.72,330.725,425.699,512.6659999999999,496.127,521.158,525.181,508.24,367.993,293.894,303.69,316.27,301.472,322.262,413.835,472.788,457.537,554.3969999999999,582.756,563.957,321.45900000000006,311.988,322.38700000000006,312.752,278.925,308.809,461.752,528.376,511.332,510.651,504.46400000000006,488.191,397.567,348.76,360.386,352.189,312.757,346.267,437.231,532.5120000000001,515.3340000000001,564.005,578.9680000000001,560.29,484.74,411.509,425.223,449.095,419.2169999999999,464.132,499.419,550.694,532.929,605.2950000000001,639.666,619.033,447.792,299.245,309.218,284.804,253.872,271.38,323.89899999999994,407.064,393.932,383.8250000000001,370.955,358.988,315.165,279.29200000000003,288.6,278.141,241.145,266.983,312.36999999999995,355.086,343.63,411.895,438.876,424.721,376.777,326.668,337.557,333.545,298.64899999999994,330.64699999999993,431.775,513.0509999999999,496.499,634.0989999999999,700.596,677.996,293.799,11.348,3752.89
4,440.065,452.447,521.2090000000001,504.395,739.396,801.923,831.135,652.181,589.579,609.231,503.74300000000005,482.521,482.521,501.562,560.284,542.21,716.735,818.298,847.092,711.586,605.806,626.0,548.1899999999999,520.935,520.935,462.332,504.011,487.752,666.611,758.75,785.0930000000001,612.451,487.173,503.413,455.683,449.178,449.178,356.506,322.078,311.689,518.936,606.122,626.3489999999999,588.673,543.355,561.467,572.9330000000001,622.596,622.609,526.234,542.6270000000001,525.1220000000001,543.9749999999999,527.82,545.4490000000001,552.1859999999999,538.491,556.44,538.53,556.517,556.5169999999999,501.025,518.563,501.834,556.83,569.3679999999999,588.3639999999999,545.515,513.492,530.607,528.078,551.16,551.16,461.681,495.142,479.17,688.424,742.737,767.5260000000001,543.7090000000001,271.785,280.844,178.77100000000002,81.118,53.029,22.238,2.483,3.726,18.889,27.472,28.403,28.903,28.37,29.316,11.348,3752.89
5,831.315,711.529,806.727,1331.2089999999998,1375.583,1326.834,1300.333,1300.333,1258.3870000000002,792.277,750.3299999999999,775.34,804.638,752.725,804.637,312.528,322.945,312.527,830.935,830.935,804.1299999999999,1144.304,1107.391,1144.305,1358.272,1226.826,1358.272,1318.057,1362.258,1318.315,1263.923,1263.923,1223.154,790.5,765.0,790.5,850.433,768.134,850.433,564.615,335.526,226.555,991.522,1043.725,1010.057,1073.672,1040.002,1074.669,1064.8680000000002,960.1,1062.9679999999998,1039.966,1075.031,1040.354,1213.131,1233.5359999999998,1193.746,1103.348,1043.5300000000002,1078.314,1130.517,1064.819,1138.252,1161.42,1204.552,1165.6950000000002,1515.712,1548.996,1499.029,916.271,844.4870000000001,872.6370000000001,958.742,874.294,985.216,1109.252,1146.229,1109.255,1228.215,1230.902,1191.193,1105.6840000000002,1070.018,1105.684,1087.18,961.672,1064.708,1063.273,1099.89,1064.411,1261.864,1272.971,1231.9070000000002,82.128,153.46166666666667,3752.89
6,561.184,453.363,501.938,485.16,500.4210000000001,484.278,478.919,452.774,438.168,403.5400000000001,339.702,351.026,408.094,431.816,461.597,509.834,499.674,483.556,557.427,611.5070000000001,591.78,559.9780000000001,488.723,505.014,416.221,309.892,343.094,442.264,570.959,552.541,578.509,587.646,568.6890000000001,536.769,473.294,489.07,474.653,408.1,451.8250000000001,472.403,556.7869999999999,709.957,756.5820000000001,777.74,752.65,689.47,487.843,504.104,594.933,667.202,738.689,743.902,820.535,794.0680000000001,819.3570000000001,817.657,791.2800000000001,816.703,788.894,815.19,776.312,675.864,722.4749999999999,715.867,796.431,770.74,723.693,741.116,717.2090000000001,710.707,641.1870000000001,662.56,658.89,591.102,654.4340000000001,644.716,683.873,661.8130000000001,698.7800000000001,714.531,691.482,753.197,774.3439999999998,800.154,806.685,739.3359999999999,818.552,792.681,820.615,794.143,795.9540000000001,761.727,737.157,540.582,295.57533333333333,3752.89
7,1500.339,1215.851,1212.458,1173.348,1693.37,1774.49,1833.66,1383.53,1324.38,1360.138,1072.741,1108.5,1108.5,911.957,975.03,1126.624,1634.949,1669.821,1725.509,1401.4550000000002,1345.794,1390.653,1260.067,1288.439,1288.439,977.927,1037.981,1004.497,1099.835,1078.724,1114.724,999.235,950.442,982.124,1053.0,1099.875,1095.059,919.022,986.748,954.916,1231.392,1290.25,1444.914,1197.813,1045.306,1080.15,1083.8529999999998,1134.4639999999995,1134.483,974.626,1043.182,1009.529,1345.831,1463.502,1512.357,1282.609,1118.949,1156.248,988.146,953.495,953.495,926.121,1019.646,986.755,1287.781,1388.958,1435.309,1203.318,1072.662,1108.416,1004.381,1007.627,1007.627,922.244,1031.125,997.863,1249.24,1295.298,1338.528,1209.516,1146.491,1184.706,1075.187,1068.37,1068.37,917.63,976.633,945.132,1140.7790000000002,1252.898,1294.735,1173.034,1094.228,1130.704,437.689,3752.89
8,285.376,256.355,283.822,337.968,356.5,345.0,384.517,386.965,368.796,298.805,290.207,300.0,271.278,249.796,267.022,454.247,476.367,461.0,832.934,843.1320000000001,815.934,487.096,471.383,487.096,318.459,277.137,306.829,369.561,381.879,369.56,384.209,383.582,371.209,325.02,314.536,325.02,314.424,282.154,312.385,347.444,503.68700000000007,487.439,841.6009999999999,852.8200000000002,825.31,551.973,524.463,541.9440000000001,566.059,514.494,569.618,971.533,1070.733,1036.193,642.748,579.285,560.5989999999999,580.951,562.5999999999999,581.353,569.825,531.4630000000001,568.117,833.704,894.0920000000001,865.2529999999999,618.172,577.2349999999999,558.6139999999999,559.333,540.0970000000001,558.1,451.313,397.304,439.8730000000001,474.956,496.444,480.429,531.962,535.703,518.424,416.9570000000001,395.582,408.768,371.408,327.36999999999995,362.444,409.395,427.371,413.586,873.2439999999999,921.028,891.318,89.13,302.6605,3752.89
9,471.711,475.216,547.899,530.225,770.639,820.754,849.212,660.465,626.563,647.448,491.312,472.75,472.75,461.25,498.359,482.283,691.891,734.717,759.919,640.288,591.847,611.576,462.37,444.333,444.333,430.501,487.389,471.667,703.815,753.962,779.189,607.604,548.152,566.424,488.381,489.219,489.219,470.688,538.843,521.461,657.695,851.857,898.7490000000001,778.6410000000001,731.171,755.5429999999999,699.1739999999999,714.2139999999999,714.237,620.717,672.2139999999999,650.53,755.408,775.3199999999999,801.231,759.768,721.3009999999999,745.3439999999998,708.573,727.4129999999999,727.413,634.908,660.139,638.8439999999999,751.9010000000001,769.9350000000001,795.663,835.144,819.346,846.657,765.919,774.6460000000002,774.6460000000001,644.654,693.4170000000001,671.0500000000001,712.982,695.506,718.773,708.817,683.64,706.428,640.228,654.667,654.667,579.6260000000001,638.917,618.307,742.5350000000001,753.465,778.655,750.556,718.415,742.362,167.632,3752.89
